userId,username,subject,level,questionNumber,question,userAnswer,correctAnswer,isCorrect,timestamp,totalScore,totalQuestions
"68a5bc335a49d8e04b9179ae","priya","webdev","1","1","What does HTML stand for?","HyperText Markup Language","HyperText Markup Language","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","2","Which tag is used to create a hyperlink in HTML?","<a>","<a>","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","3","Which of the following is used to apply styles to a web page?","CSS","CSS","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","4","Inside which HTML element do we put JavaScript code?","<script>","<script>","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","5","Which CSS property is used to change the text color?","color","color","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","6","What is the correct HTML tag for the largest heading?","<h1>","<h1>","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","7","Which symbol is used for IDs in CSS selectors?","#","#","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","8","Which of these is a JavaScript data type?","Double","Boolean","false","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","9","Which HTML tag is used to display an image?","<img>","<img>","true","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","10","In JavaScript, what will typeof [] return?","'list'","'object'","false","2025-08-29T09:38:21.342Z","8","10"
"68a5bc335a49d8e04b9179ae","priya","cpp","1","1","Which header is needed to use std::cout in C++?","#include <iostream>","#include <iostream>","true","2025-08-30T10:26:34.724Z","1","1"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","1","What does HTML stand for?","HyperText Markup Language","HyperText Markup Language","true","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","2","Which tag is used to create a hyperlink in HTML?","Not Answered","<a>","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","3","Which of the following is used to apply styles to a web page?","Java","CSS","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","4","Inside which HTML element do we put JavaScript code?","<js>","<script>","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","5","Which CSS property is used to change the text color?","background-color","color","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","6","What is the correct HTML tag for the largest heading?","<header>","<h1>","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","7","Which symbol is used for IDs in CSS selectors?","$","#","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","8","Which of these is a JavaScript data type?","Double","Boolean","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","9","Which HTML tag is used to display an image?","<src>","<img>","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","webdev","1","10","In JavaScript, what will typeof [] return?","Not Answered","'object'","false","2025-08-30T10:55:27.096Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","1","What will be the output?

public class Main {
  public static void main(String[] args) {
    System.out.println(""Hello Java"");
  }
}
","Hello","Hello Java","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","2","Which data type is used to store whole numbers in Java?","String","int","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","3","What will be the output?

public class Main {
  public static void main(String[] args) {
    int x = 5;
    System.out.println(x++);
  }
}
","6","5","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","4","Which symbol is used to start a single-line comment in Java?","Not Answered","//","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","5","What does JVM stand for in Java?","Java Visual Module","Java Virtual Machine","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","6","What will the following code print?

public class Main {
  public static void main(String[] args) {
    int a = 10, b = 20;
    System.out.println(a + b);
  }
}
","30","30","true","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","7","Which keyword is used to create an object in Java?","create","new","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","8","Which of these is NOT a Java primitive data type?","int","String","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","9","What will be the output?

public class Main {
  public static void main(String[] args) {
    boolean flag = true;
    System.out.println(flag);
  }
}
","1","true","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","java","1","10","Which of the following is used to print text in Java?","echo","System.out.println()","false","2025-08-30T11:04:18.698Z","1","10"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","1","Which header is needed to use std::cout in C++?","#include <stdio.h>","#include <iostream>","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","2","Which keyword prevents a variable from being modified after initialization?","static","const","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","3","Which header provides std::vector?","#include <vector>","#include <vector>","true","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","4","What does std::endl do on an output stream?","Inserts a newline and flushes","Inserts a newline and flushes","true","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","5","Which header defines std::string?","#include <text>","#include <string>","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","6","Which operator is used to output to std::cout?","::","<<","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","7","What is the correct way to include a standard header in C++?","#include <iostream>","#include <iostream>","true","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","8","Which header provides std::sqrt and std::pow?","#include <maths>","#include <cmath>","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","9","Which container is best for fast insertion/removal at the back with dynamic resizing?","std::deque","std::vector","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","10","Which header is needed for formatted I/O manipulators like std::setprecision?","Not Answered","#include <iomanip>","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","cpp","2","11","Which keyword creates an alias for a type in modern C++?","Not Answered","using","false","2025-08-30T11:12:43.652Z","3","11"
"68a5bc335a49d8e04b9179ae","priya","python","1","1","What is the correct way to create a list in Python?","list = [1, 2, 3]","list = [1, 2, 3]","true","2025-08-30T17:47:50.387Z","4","10"
"68a5bc335a49d8e04b9179ae","priya","python","1","2","Which of the following is used to define a function in Python?","function","def","false","2025-08-30T17:47:50.387Z","4","10"
"68a5bc335a49d8e04b9179ae","priya","python","1","3","What will be the output of: print(type([]))?","<class 'list'>","<class 'list'>","true","2025-08-30T17:47:50.387Z","4","10"
"68a5bc335a49d8e04b9179ae","priya","python","1","4","Which operator is used for exponentiation in Python?","pow","**","false","2025-08-30T17:47:50.387Z","4","10"
